Step,Time(s),FR_contact,FL_contact,RR_contact,RL_contact,FR_force(N),FL_force(N),RR_force(N),RL_force(N)
0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1,0.02,0,0,0,0,0.0,0.0,0.0,0.0
2,0.04,0,0,0,0,0.0,0.0,0.0,0.0
3,0.06,0,0,0,0,0.0,0.0,0.0,0.0
4,0.08,0,0,0,0,0.0,0.0,0.0,0.0
5,0.1,0,0,0,0,0.0,0.0,0.0,0.0
6,0.12,0,0,0,0,0.0,0.0,0.0,0.0
7,0.14,0,0,0,0,0.0,0.0,0.0,0.0
8,0.16,0,0,0,0,0.0,0.0,0.0,0.0
9,0.18,0,0,0,0,0.0,0.0,0.0,0.0
10,0.2,0,0,0,1,0.0,0.0,0.0,111.35934448242188
11,0.22,1,0,0,1,355.0406494140625,0.0,0.0,99.18120574951172
12,0.24,1,1,1,1,146.16888427734375,89.00102996826172,67.90005493164062,65.71945190429688
13,0.26,1,1,0,1,143.789794921875,6.148135662078857,0.0,37.32813262939453
14,0.28,1,0,0,0,30.848628997802734,0.0,0.0,0.0
15,0.3,1,0,0,0,74.75303649902344,0.0,0.0,0.0
16,0.32,1,0,0,0,10.079938888549805,0.0,0.0,0.0
17,0.34,1,0,0,0,88.21529388427734,0.0,0.0,0.0
18,0.36,1,0,0,0,65.41943359375,0.0,0.0,0.0
19,0.38,1,0,0,0,5.558210372924805,0.0,0.0,0.0
20,0.4,0,0,0,0,0.0,0.0,0.0,0.0
21,0.42,0,0,0,0,0.0,0.0,0.0,0.0
22,0.44,0,0,0,0,0.0,0.0,0.0,0.0
23,0.46,0,1,0,0,0.0,51.65576934814453,0.0,0.0
24,0.48,1,0,0,1,160.3184356689453,0.0,0.0,175.02920532226562
25,0.5,1,0,0,1,17.03188705444336,0.0,0.0,74.09680938720703
26,0.52,1,0,0,1,11.68321418762207,0.0,0.0,70.2334213256836
27,0.54,0,0,0,1,0.0,0.0,0.0,23.19464683532715
28,0.56,0,0,0,1,0.0,0.0,0.0,14.927983283996582
29,0.58,0,0,0,0,0.0,0.0,0.0,0.0
30,0.6,0,1,0,0,0.0,89.1771240234375,0.0,0.0
31,0.62,1,1,0,0,119.70658111572266,8.52350902557373,0.0,0.0
32,0.64,1,0,0,0,43.55123519897461,0.0,0.0,0.0
33,0.66,1,0,0,0,34.78057861328125,0.0,0.0,0.0
34,0.68,0,0,0,0,0.0,0.0,0.0,0.0
35,0.7000000000000001,0,0,0,0,0.0,0.0,0.0,0.0
36,0.72,0,0,0,0,0.0,0.0,0.0,0.0
37,0.74,0,1,0,0,0.0,47.83973693847656,0.0,0.0
38,0.76,1,0,0,0,85.48619079589844,0.0,0.0,0.0
39,0.78,1,0,0,1,29.39584732055664,0.0,0.0,173.98025512695312
40,0.8,1,0,0,1,53.3991584777832,0.0,0.0,105.97280883789062
41,0.8200000000000001,0,0,0,1,0.0,0.0,0.0,39.03044891357422
42,0.84,0,0,0,1,0.0,0.0,0.0,15.623846054077148
43,0.86,0,0,0,0,0.0,0.0,0.0,0.0
44,0.88,0,0,0,0,0.0,0.0,0.0,0.0
45,0.9,1,0,0,0,217.94435119628906,0.0,0.0,0.0
46,0.92,1,0,0,0,61.81641387939453,0.0,0.0,0.0
47,0.9400000000000001,1,0,0,1,38.005306243896484,0.0,0.0,48.574066162109375
48,0.96,1,0,0,1,18.90497398376465,0.0,0.0,35.52818298339844
49,0.98,1,0,0,1,56.460792541503906,0.0,0.0,57.23196029663086
50,1.0,0,0,0,0,0.0,0.0,0.0,0.0
51,1.02,0,0,0,0,0.0,0.0,0.0,0.0
52,1.04,1,1,0,0,66.67129516601562,180.9972686767578,0.0,0.0
53,1.06,1,1,0,0,131.45018005371094,34.221527099609375,0.0,0.0
54,1.08,1,0,0,0,95.45777893066406,0.0,0.0,0.0
55,1.1,1,0,0,0,84.03776550292969,0.0,0.0,0.0
56,1.12,0,0,0,0,0.0,0.0,0.0,0.0
57,1.1400000000000001,0,0,0,0,0.0,0.0,0.0,0.0
58,1.16,0,0,0,0,0.0,0.0,0.0,0.0
59,1.18,0,0,0,0,0.0,0.0,0.0,0.0
60,1.2,0,0,0,0,0.0,0.0,0.0,0.0
61,1.22,1,0,0,1,79.64949035644531,0.0,0.0,141.21217346191406
62,1.24,1,0,0,1,9.58265209197998,0.0,0.0,108.47476196289062
63,1.26,1,0,0,1,5.2919111251831055,0.0,0.0,62.5843391418457
