lateral_hori_stiffness,lateral_verti_stiffness,diagonal_stiffness,tip_dx,tip_dy,tip_dz,tip_disp_norm
500,500,500,0.07970893525184762,0.15296994889268797,-0.009686795311913965,0.17276328784388692
500,500,562,0.06482104677994383,0.14392819714030372,-0.006667478114367409,0.15799224443659052
500,500,632,0.04864687030529011,0.13258975827754482,0.0006340341622909085,0.1412337211501433
500,500,711,0.04640425095276479,0.13070009164058013,0.0028942389440536065,0.13872362841422686
500,500,799,0.04560017802878946,0.12988471315600109,0.0038555703132444608,0.13771085785192955
500,500,899,0.045183378480903674,0.1293847131125054,0.0043516017014675334,0.1371162941284592
500,500,1011,0.044941996041165916,0.12907696114756798,0.00471104417499435,0.13675832276126265
500,500,1136,0.04482132734357938,0.12893157866224514,0.005031573700731928,0.13659289913858957
500,500,1278,0.04480979267438537,0.12893867314325502,0.005297454369928234,0.13660586361597377
500,500,1437,0.04489584177086031,0.12909190227916592,0.005521896103496626,0.13678759877615243
500,500,1616,0.04507125607855306,0.12938555967537088,0.005718949972748244,0.13713040350629127
500,500,1817,0.04533072661564891,0.12981426843166838,0.005895961277889605,0.13762769133914268
500,500,2043,0.0451076260641583,0.12975229520824677,0.00602048146863976,0.1375012808597294
500,500,2297,0.044262628763992506,0.1290211376253597,0.006090989298286553,0.13653839903072273
500,500,2583,0.04354398645628946,0.12842798476427206,0.006155186779435051,0.1357487103121328
500,500,2904,0.04293974681075374,0.12796326916790934,0.006214841586923869,0.13511863072226943
500,500,3265,0.042436363811565125,0.1276150950965926,0.006271532583567052,0.134632052613806
500,500,3672,0.042022566717064724,0.1273729414664995,0.006326405141377722,0.13427503764040177
500,500,4129,0.04169083310753158,0.12722810088366932,0.006379959434051341,0.13403663343297356
500,500,4642,0.04143235469217138,0.12717054793803095,0.006432690157833321,0.1339043232344035
500,500,5220,0.04123846111447324,0.12719076813735802,0.0064851175483190415,0.1338661978397706
500,500,5870,0.0411025533811514,0.1272798428471983,0.006537303720206111,0.1339115925884989
500,500,6600,0.04101800938502348,0.1274287081212439,0.006589247806725429,0.13402973899108167
500,500,7421,0.04097838063990705,0.1276289876369202,0.006641016497605068,0.1342106153223943
500,500,8345,0.04097786126176822,0.12787274471542343,0.00669256493462822,0.1344448376846385
500,500,9383,0.041010978163938616,0.12815179356067624,0.0067436557840593325,0.13472289863313924
500,500,10551,0.04107266223113559,0.12845930862995997,0.0067942392115550865,0.13503673293924173
500,500,11864,0.04115812534407434,0.1287882242550863,0.006844069573374023,0.1353781344122533
500,500,13340,0.041262965013625585,0.1291322948397416,0.006892965533210282,0.1357398056066667
500,500,15000,0.041383202034833366,0.12948600170892144,0.006940763710908016,0.13611527559428918
500,562,500,0.07785297290562317,0.15147703092563128,-0.009459076830872437,0.17057505803247056
500,562,562,0.05390953029623943,0.1358820355269155,-0.003045676135777331,0.14621710289437115
500,562,632,0.04663063570122225,0.13020249067070924,0.001496193423862091,0.13830886941016415
500,562,711,0.04535677283035866,0.12899534257913922,0.0028426380344962476,0.13676664739507732
500,562,799,0.044794419519135126,0.1283481549255778,0.00343253721887804,0.13598371668922488
500,562,899,0.04447368313523459,0.12792363799893364,0.0037308323732676563,0.13548536733054567
500,562,1011,0.04427832259942713,0.12766070392943776,0.003980015595280717,0.13518012318428024
500,562,1136,0.0441885509964946,0.12754880358237766,0.004202447977229462,0.13505178970849324
500,562,1278,0.0441973609708354,0.12758317257710933,0.004390664671753863,0.1350931181736752
500,562,1437,0.044297836756313796,0.12776031411318997,0.0045523301532396365,0.13529863234125497
500,562,1616,0.04448424344583371,0.12807609479755006,0.004696943007112764,0.1356627997910676
500,562,1817,0.04475200800988896,0.12852527553681117,0.004829150919010372,0.13617932798824123
500,562,2043,0.04509911034627104,0.12910418966300347,0.00495126102435095,0.136844205315012
500,562,2297,0.044320730444406486,0.12845735329433228,0.0050065407747842405,0.135980455261189
500,562,2583,0.043594289585398294,0.12786995569356585,0.005054282141208288,0.13519146948492347
500,562,2904,0.04298378221900637,0.12741264346653453,0.005098699795489936,0.13456442319047685
500,562,3265,0.0424755617536246,0.1270734567011497,0.005141072714789363,0.13408306146908971
500,562,3672,0.04205827343676716,0.1268418463548991,0.005182342311726873,0.1337333504517015
500,562,4129,0.04172434577609724,0.12670902299655573,0.005222922115751039,0.13350421886446964
500,562,4642,0.04146490465116659,0.12666491877071212,0.005263230679979913,0.13338306325059457
500,562,5220,0.041271228132404914,0.12670003519046086,0.005303656429671344,0.13335794674613516
500,562,5870,0.04113667155492626,0.12680538803557512,0.005344256264229852,0.13341811442412316
500,562,6600,0.04105456279892755,0.12697184040543072,0.005385016779127949,0.13355270041547174
