lateral_hori_stiffness,lateral_verti_stiffness,diagonal_stiffness,total_twist_deg,twist_0_1_deg,twist_1_2_deg
100,788,100,117.73429071280759,57.393129019095575,60.34116169371201
100,788,117,117.39289742454329,57.19030285768597,60.20259456685732
100,788,137,116.99476020556388,56.94812423602708,60.04663596953681
100,788,161,116.51062632558245,56.589743056944435,59.920883268638015
100,788,188,115.9421402707865,56.04143515394049,59.90070511684603
100,788,221,115.16360420028101,55.407530207199976,59.756073993081046
100,788,259,114.00345146996573,54.67695543700032,59.3264960329654
100,788,303,112.43007845274379,53.86612267597568,58.563955776768104
100,788,356,110.78986593057346,53.08692669771433,57.70293923285912
100,788,417,108.68150665611944,52.208112117295755,56.47339453882367
100,788,489,105.00104574869184,51.05396704232251,53.947078706369325
100,788,573,100.68108611040776,50.039541952389975,50.64154415801778
100,788,672,111.2591972487303,53.988127415317244,57.27106983341305
100,788,788,109.74524828881007,53.40221827627113,56.34303001253894
100,788,923,109.0669130150104,53.17352661488133,55.89338640012907
100,788,1082,87.70326529261645,47.7529797703036,39.950285522312846
100,788,1268,81.26518352083555,43.88697167355635,37.3782118472792
100,788,1487,77.65252598258455,40.579730484356354,37.07279549822819
100,788,1743,62.437047367113465,31.206253030003843,31.230794337109618
100,788,2043,51.593495248673285,24.919457066546386,26.6740381821269
100,788,2395,43.528967657743216,20.392820188213545,23.13614746952967
100,788,2807,36.33367406886448,16.891918740521437,19.441755328343046
100,788,3290,30.197202742277167,14.090397779758755,16.106804962518414
100,788,3856,26.316866778011384,11.87405373051713,14.442813047494255
100,788,4520,22.723493787344797,10.020652061968994,12.702841725375805
100,788,5298,19.822149870660713,8.482467058709632,11.339682811951082
100,788,6210,17.48801367988461,7.199878821050075,10.288134858834535
100,788,7278,14.348301579775404,6.021638499485751,8.326663080289654
100,788,8531,12.836377115831342,5.115218105482958,7.7211590103483845
100,788,10000,11.415626511422378,4.367796058574451,7.0478304528479265
100,923,100,113.04981485420531,55.23201258761048,57.81780226659482
100,923,117,112.74652642503071,55.057870743073124,57.688655681957584
100,923,137,112.38844534305461,54.84983857025627,57.53860677279836
100,923,161,111.94888325312597,54.57377772050235,57.375105532623614
100,923,188,111.43431319068381,54.12702659441049,57.307286596273336
100,923,221,110.69123043678698,53.585981106746964,57.10524933004003
100,923,259,109.50265312754544,52.90848054432549,56.59417258321996
100,923,303,108.2476716409871,52.27779880091688,55.969872840070224
100,923,356,106.83513719567058,51.611229029009316,55.22390816666126
100,923,417,104.56162148611006,50.676951032826935,53.88467045328313
100,923,489,101.05745434094382,49.68166352817321,51.3757908127706
100,923,573,97.39187216735635,48.79973060758687,48.59214155976948
100,923,672,93.89068665614019,47.98167546750276,45.90901118863742
100,923,788,90.86953500971597,46.79168572857252,44.07784928114345
100,923,923,90.31547098725497,47.086480820696856,43.22899016655812
100,923,1082,83.47592420810308,45.65858082438974,37.81734338371334
100,923,1268,78.43856809030764,41.27478807283154,37.16378001747611
100,923,1487,76.20535746046474,39.32701620285678,36.87834125760796
100,923,1743,61.69046865338622,30.808783868405083,30.881684784981136
100,923,2043,50.99616306906895,24.773403583179608,26.222759485889338
100,923,2395,42.56639143337181,20.31808320056795,22.248308232803858
100,923,2807,35.298815491950414,16.862178951259057,18.43663654069136
100,923,3290,29.63290394051403,14.106155297497807,15.526748643016226
100,923,3856,25.036678702086963,11.85562882240025,13.181049879686716
100,923,4520,21.23918143363105,9.992139798845095,11.247041634785957
100,923,5298,18.068847824209577,8.437833406822262,9.631014417387314
100,923,6210,15.79072340994308,7.167503408861017,8.62322000108206
100,923,7278,13.68414813869133,6.078598672401607,7.605549466289724
100,923,8531,11.93067930101958,5.160241957088739,6.7704373439308405
100,923,10000,10.474487911870444,4.3856961998991055,6.088791711971338
100,1082,100,108.90217318916329,53.27767843966498,55.62449474949831
100,1082,117,108.62402371481869,53.124842810353556,55.499180904465135
100,1082,137,108.28974972957167,52.940165581790794,55.349584147780874
100,1082,161,107.87037429485726,52.71040354634379,55.15997074851346
100,1082,188,107.36513146872514,52.34614002803484,55.01899144069029
100,1082,221,106.53050943027571,51.826083181947475,54.70442624832823
100,1082,259,105.56063781393478,51.30453762651756,54.25610018741721
100,1082,303,104.52074614795792,50.78545576851097,53.73529037944695
100,1082,356,103.21978070212477,50.18443895555031,53.03534174657444
100,1082,417,100.86530496374127,49.22461664868226,51.64068831505901
100,1082,489,97.66022191487508,48.36754950747239,49.29267240740269
100,1082,573,94.50206546896632,47.60575260821612,46.89631286075021
100,1082,672,91.49133333103158,46.89658025912964,44.594753071901934
100,1082,788,90.50700834325947,46.97923746339889,43.52777087986059
100,1082,923,85.36273446487117,46.05899451330793,39.30373995156324
100,1082,1082,78.61826841786065,41.08407848002255,37.534189937838114
100,1082,1268,76.41716788476322,39.402624173511384,37.014543711251825
